Título,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Área Total (m2),Vagas,Taxa Condomínio,IPTU,Data Coleta,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
Apartamento  em Boa Viagem,1208824,Residencial,,Boa Viagem,,,,Imobiliária,4,4,185,185,2,922,,2017-04-09 23:35:59.101116,,,,,,,
Apartamento com piscina e churrasqueira em Casa Forte,2500000,Residencial,Avenida 17 de Agosto,Casa Forte,52061540,-8.0280781002,-34.9280992244,Imobiliária,4,4,326,550,5,922,980,2017-04-09 23:35:59.627739,,,,,,,
Apartamento com piscina e salão de festas em Rosarinho,300000,Residencial,Avenida Santos Dumont,Rosarinho,52050500,-26.9225709,-49.0606445,Imobiliária,2,1,50,,1,922,,2017-04-09 23:35:59.662328,,,,,,,
Apartamento com piscina e churrasqueira em Caxanga,355000,Residencial,Rua Dona Inês Correia de Araújo,Caxanga,50800220,-8.0315582,-34.9534829,Imobiliária,3,1,84,,1,920,,2017-04-09 23:35:59.679359,,,,,,,
Apartamento  em Boa Viagem,810000,Residencial,Rua dos Navegantes,Boa Viagem,51111080,-8.1318176,-34.9003913,Imobiliária,4,2,185,185,2,920,,2017-04-09 23:35:59.686389,,,,,,,
Apartamento  em Boa Viagem,1200000,Residencial,,Boa Viagem,,,,Imobiliária,3,1,127,127,2,920,,2017-04-09 23:35:59.693016,,,,,,,
Apartamento com piscina e churrasqueira em Madalena,570000,Residencial,Não Informado,Madalena,,,,Imobiliária,3,1,86,86,2,915,,2017-04-09 23:35:59.705779,,,,,,,
Apartamento com piscina e churrasqueira em Encruzilhada,360000,Residencial,Rua Dona Julieta,Encruzilhada,52041550,,,Imobiliária,3,1,59,59,1,910,,2017-04-09 23:35:59.738986,,,,,,,
Apartamento  em Casa Amarela,800000,Residencial,Estrada do Arraial,Casa Amarela,52051380,-8.0267907,-34.914241,Imobiliária,4,2,130,,2,910,,2017-04-09 23:35:59.860332,,,,,,,
Loja/Salão  em Boa Vista,850000,Comercial,Rua Gervásio Pires,Boa Vista,50006090,-8.0615896,-34.8876388,Imobiliária,0,0,390,,0,910,,2017-04-09 23:36:00.532422,,,,,,,
Apartamento com piscina e sauna em Boa Viagem,540000,Residencial,Rua Ana Camelo da Silva,Boa Viagem,51111040,,,Imobiliária,3,1,82,106,2,910,,2017-04-09 23:36:00.542981,,,,,,,
Apartamento com piscina e churrasqueira em Cordeiro,239000,Residencial,Rua Bom do Pastor,Cordeiro,50670260,,,Imobiliária,2,1,56,,1,910,70,2017-04-09 23:36:00.552085,,,,,,,
Apartamento com piscina e sauna em Boa Viagem,580000,Residencial,Rua França Pereira,Boa Viagem,51111150,-8.106552,-34.888104,Imobiliária,2,1,50,50,0,905,,2017-04-09 23:36:00.572619,,,,,,,
Apartamento com piscina e churrasqueira em Casa Amarela,350000,Residencial,Rua Paula Batista,Casa Amarela,52070070,-8.0250544,-34.9153025,Imobiliária,3,1,60,,1,905,111,2017-04-09 23:36:00.579223,,,,,,,
Apartamento com piscina e frente para o mar em Espinheiro,460000,Residencial,Rua Alfredo de Carvalho,Espinheiro,52020020,-8.0440221,-34.8938212,Imobiliária,3,1,77,90,2,904,800,2017-04-09 23:36:00.596300,,,,,,,
Apartamento com piscina e esquina em Espinheiro,560000,Residencial,Rua Alfredo de Carvalho,Espinheiro,52021040,-8.0412783,-34.8896025,Imobiliária,3,1,78,78,2,904,,2017-04-09 23:36:00.617825,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,750000,Residencial,Rua Joao Cardoso Aires,Boa Viagem,51130300,-8.1414427,-34.9091085,Imobiliária,3,1,108,,2,900,,2017-04-09 23:39:24.159228,,,,,,,
Apartamento com piscina e sala de ginástica em Boa Viagem,550000,Residencial,Não Informado,Boa Viagem,,,,Imobiliária,3,1,86,86,2,900,,2017-04-09 23:36:01.374319,,,,,,,
Apartamento  em Jaqueira,175000,Residencial,Avenida Conselheiro Rosa e Silva,Jaqueira,52050020,-8.0367763,-34.9016254,Imobiliária,1,0,30,,1,900,,2017-04-09 23:36:01.410127,,,,,,,
Apartamento com piscina e salão de festas em Boa Viagem,1000000,Residencial,Rua Baltazar Passos,Boa Viagem,51130290,-8.1435517,-34.9082036,Imobiliária,4,3,270,,0,900,,2017-04-09 23:36:01.502591,,,,,,,
Apartamento  em Caxanga,260000,Residencial,Avenida Hospital Barão de Lucena,Caxanga,50731900,-8.0417195,-34.9299881,Imobiliária,3,0,68,,0,900,,2017-04-09 23:36:01.516078,,,,,,,
Apartamento com piscina e playground em Boa Viagem,750000,Residencial,Rua Doutor Luiz Inácio Pessoa de Melo,Boa Viagem,51030320,-8.1397807,-34.9054452,Imobiliária,3,1,157,2618,2,900,,2017-04-09 23:36:01.529962,,,,,,,
Apartamento com piscina e churrasqueira em Encruzilhada,386910,Residencial,Rua Doutor José Maria,Encruzilhada,52041000,-8.0362327,-34.8958081,Imobiliária,2,1,56,56,1,900,,2017-04-09 23:36:01.617763,,,,,,,
Apartamento com piscina e churrasqueira em Aflitos,410000,Residencial,Rua Manuel de Carvalho,Aflitos,52050370,-8.0396197,-34.895933,Imobiliária,3,1,74,74,2,900,,2017-04-09 23:36:01.627510,,,,,,,
Apartamento com piscina e churrasqueira em Gracas,200000,Residencial,,Gracas,,,,Imobiliária,1,0,33,33,1,900,,2017-04-09 23:36:02.292103,,,,,,,
Apartamento com piscina e frente para o mar em Boa Viagem,2100000,Residencial,Avenida Boa Viagem,Boa Viagem,51130000,-8.1431476,-34.9042382,Imobiliária,4,4,190,,3,900,,2017-04-09 23:36:02.327767,,,,,,,
Apartamento  em Gracas,1790000,Residencial,Avenida Rui Barbosa,Gracas,52011040,-8.0461423,-34.9017759,Imobiliária,4,3,182,182,3,900,,2017-04-09 23:36:02.345456,,,,,,,
Apartamento com piscina e sauna em Boa Viagem,2250000,Residencial,Avenida Boa Viagem,Boa Viagem,51030000,-8.122988,-34.8964499,Imobiliária,4,4,244,,3,900,,2017-04-09 23:36:02.367632,,,,,,,
Apartamento com piscina e playground em Casa Forte,850000,Residencial,Avenida Dezessete de Agosto,Casa Forte,52060590,-8.0287216,-34.9262691,Imobiliária,3,3,154,154,3,900,,2017-04-09 23:36:02.396688,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,480000,Residencial,Avenida Charles Darwin,Boa Viagem,51021520,-8.1317303,-34.902409,Imobiliária,3,1,74,74,1,900,,2017-04-09 23:36:02.445040,,,,,,,
Apartamento com piscina e playground em Cordeiro,250000,Residencial,Travessa Antônio Valdevino da Costa,Cordeiro,50640039,-8.0574065,-34.9318183,Imobiliária,3,0,68,68,1,900,,2017-04-09 23:36:02.461977,,,,,,,
Apartamento com esquina e sala de ginástica em Espinheiro,550000,Residencial,Rua Afonso Batista,Espinheiro,52021020,-8.0401835,-34.8902379,Imobiliária,3,1,120,120,1,900,,2017-04-09 23:36:02.470965,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,420000,Residencial,Rua Professor José Brandão,Boa Viagem,51020180,-8.1118381,-34.8945955,Imobiliária,2,1,55,55,1,900,,2017-04-09 23:36:03.008967,,,,,,,
Apartamento com piscina e churrasqueira em Setubal,325000,Residencial,Rua Izabel Magalhães,Setubal,51030330,-8.1390967,-34.9061595,Imobiliária,2,1,50,50,1,900,,2017-04-09 23:36:03.030048,,,,,,,
Apartamento com piscina e churrasqueira em Cid Universitaria,280000,Residencial,,Cid Universitaria,50670420,,,Imobiliária,3,1,60,60,1,900,,2017-04-09 23:36:03.058555,,,,,,,
Apartamento com piscina e playground em Espinheiro,850000,Residencial,,Espinheiro,,,,Imobiliária,4,2,146,146,2,900,,2017-04-09 23:36:03.124984,,,,,,,
Apartamento  em Torre,285000,Residencial,,Torre,,,,Imobiliária,3,1,82,82,2,900,,2017-04-09 23:36:03.231190,,,,,,,
Apartamento com piscina e campo de futebol em Beira Rio,685000,Residencial,Avenida Beira Rio,Beira Rio,50710110,,,Imobiliária,4,3,112,112,2,900,,2017-04-09 23:36:03.444995,,,,,,,
Apartamento com piscina e churrasqueira em Madalena,609017,Residencial,Rua Hermógenes de Morais,Madalena,50610160,,,Imobiliária,3,1,86,86,2,900,,2017-04-09 23:36:03.506543,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,1050000,Residencial,Rua Le Park,Boa Viagem,51160035,-8.1094249,-34.9043664,Imobiliária,4,4,170,170,3,900,450,2017-04-09 23:36:03.516170,,,,,,,
Apartamento com piscina e churrasqueira em Rosarinho,585000,Residencial,Rua Salvador de Sá,Rosarinho,52041055,-8.0313177109,-34.8950080872,Imobiliária,3,1,86,,2,900,,2017-04-09 23:36:03.739189,,,,,,,
Apartamento com salão de festas em Aflitos,500000,Residencial,Avenida Conselheiro Rosa e Silva,Aflitos,52050020,-8.0413078,-34.8981324,Imobiliária,3,1,126,,1,900,,2017-04-09 23:36:03.749985,,,,,,,
Casa  em San Martin,370000,Residencial,Rua Visconde Parnaíba,San Martin,50761050,-8.0667568,-34.9296421,Imobiliária,3,1,130,160,3,900,,2017-04-09 23:36:03.790001,,,,,,,
Apartamento  em Hipodromo,352000,Residencial,Rua Prudente de Moraes,Hipodromo,52041730,-8.0324855,-34.8848711,Imobiliária,3,1,79,79,1,900,,2017-04-09 23:36:03.859298,,,,,,,
Conjunto Comercial/Sala  em Parnamirim,250000,Comercial,Rua João Tude de Melo,Parnamirim,52060010,-8.034851,-34.9087846,Imobiliária,0,0,47,47,0,900,,2017-04-09 23:36:03.888946,,,,,,,
Apartamento  em Boa Viagem,1380000,Residencial,Rua Ernesto de Paula Santos,Boa Viagem,51021330,-8.1251921,-34.8977973,Imobiliária,4,4,224,224,3,900,,2017-04-09 23:36:03.921347,,,,,,,
Conjunto Comercial/Sala  em Madalena,160000,Comercial,Rua José Bonifácio,Madalena,50710435,-8.0492476,-34.9066,Imobiliária,0,0,28,39,0,900,,2017-04-09 23:36:03.976708,,,,,,,
Apartamento com sauna e playground em Rosarinho,820777,Residencial,Rua José Alexandre Caçador,Rosarinho,52041360,-8.0312254,-34.8949455,Imobiliária,4,2,125,125,3,900,,2017-04-09 23:36:03.985464,,,,,,,
Apartamento  em Boa Viagem,235000,Residencial,Rua Jorge Couceiro da Costa Eiras,Boa Viagem,51021300,,,Imobiliária,1,1,26,26,1,900,,2017-04-09 23:36:04.236684,,,,,,,
Apartamento com piscina e churrasqueira em Aflitos,790000,Residencial,Rua Teles Júnior,Aflitos,52050040,-26.9225709,-49.0606445,Imobiliária,4,2,129,,0,900,200,2017-04-09 23:36:04.357343,,,,,,,
Apartamento com piscina e churrasqueira em Jaqueira,650000,Residencial,Rua Neto Mendonça,Jaqueira,52050100,-8.0352663,-34.9005066,Imobiliária,3,1,105,105,2,900,,2017-04-09 23:36:04.391532,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,669000,Residencial,Rua Setúbal,Boa Viagem,51030010,-14.235004,-51.92528,Imobiliária,3,1,86,,2,900,,2017-04-09 23:36:04.747361,,,,,,,
Apartamento com playground e sala de ginástica em Casa Forte,1600000,Residencial,Rua Jerônimo de Albuquerque,Casa Forte,52061470,-8.0333157,-34.9183513,Imobiliária,4,4,199,199,3,900,,2017-04-09 23:36:04.756250,,,,,,,
Apartamento com piscina e playground em Boa Viagem,850000,Residencial,,Boa Viagem,,-14.235004,-51.92528,Imobiliária,4,2,132,,2,900,,2017-04-09 23:36:04.766689,,,,,,,
Apartamento com playground e salão de festas em Parnamirim,500000,Residencial,Avenida Flor de Santana,Parnamirim,52060290,-8.0339191,-34.9144016,Imobiliária,3,1,132,132,1,900,,2017-04-09 23:36:04.787690,,,,,,,
Prédio Inteiro  em Sto Amaro,1800000,Comercial,Rua Arnóbio Marques,Sto Amaro,50100130,-8.0453338,-34.888199,Imobiliária,0,0,580,580,5,900,,2017-04-10 16:32:05.356320,,,,,,,
Casa  em Ipsep,325000,Residencial,Rua Alagoas,Ipsep,51350560,-8.1052296,-34.9253156,Imobiliária,3,1,178,220,3,900,,2017-04-09 23:36:04.827450,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,750000,Residencial,Rua Setubal,Boa Viagem,51130010,,,Imobiliária,3,1,147,147,2,900,,2017-04-09 23:36:04.995936,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,630000,Residencial,Rua Mamanguape,Boa Viagem,51020250,-8.116149,-34.8969828,Imobiliária,3,1,129,213,2,900,,2017-04-09 23:36:05.043633,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,895000,Residencial,Rua Padre Carapuceiro,Boa Viagem,51020280,-8.1185021,-34.8987905,Imobiliária,4,2,144,,2,900,,2017-04-09 23:36:05.083316,,,,,,,
Apartamento com piscina e playground em Aflitos,440000,Residencial,Avenida Santos Dumont,Aflitos,52041060,-8.0366418,-34.8979132,Imobiliária,3,1,67,67,1,900,,2017-04-09 23:36:05.268247,,,,,,,
Apartamento com piscina e playground em Boa Viagem,1450000,Residencial,Avenida Boa Viagem,Boa Viagem,51130000,-8.1394902,-34.9027418,Imobiliária,3,1,105,,2,900,,2017-04-09 23:36:05.289950,,,,,,,
Apartamento com piscina e churrasqueira em Espinheiro,475000,Residencial,Rua Alfredo de Carvalho,Espinheiro,52021040,-8.0412774,-34.8896279,Imobiliária,3,1,77,,2,900,,2017-04-09 23:36:05.380730,,,,,,,
Apartamento com piscina e churrasqueira em Casa Amarela,360000,Residencial,"Rua Harmonia,Da",Casa Amarela,52051390,-8.0258207,-34.913036,Imobiliária,2,1,56,,1,900,,2017-04-09 23:36:05.514086,,,,,,,
Loja/Salão  em Madalena,3500000,Comercial,Rua José Osório,Madalena,50610280,-8.0533429,-34.9067972,Imobiliária,0,0,378,538,12,900,,2017-04-09 23:36:05.550848,,,,,,,
Apartamento com piscina e frente para o mar em Parnamirim,380000,Residencial,Rua Engenheiro Clóvis de Castro,Parnamirim,52060180,-14.235004,-51.92528,Imobiliária,2,1,55,,1,900,,2017-04-09 23:36:05.594134,,,,,,,
Apartamento com piscina e copa em Boa Viagem,750000,Residencial,Não Informado,Boa Viagem,,,,Imobiliária,3,1,101,101,2,900,,2017-04-09 23:36:05.743465,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,280000,Residencial,Rua Viriato Correia,Boa Viagem,51030510,-8.133892,-34.9098131,Imobiliária,2,1,47,,1,900,,2017-04-09 23:36:05.787782,,,,,,,
Apartamento com piscina e esquina em Encruzilhada,420000,Residencial,Rua Visconde de Mamanguape,Encruzilhada,52030010,-8.0383945,-34.8884413,Imobiliária,3,1,62,62,1,900,,2017-04-09 23:36:05.860451,,,,,,,
Apartamento com piscina e churrasqueira em Madalena,795000,Residencial,Rua Clóvis Beviláqua,Madalena,50710330,-8.0475128,-34.9047574,Imobiliária,4,2,136,,2,900,,2017-04-09 23:36:05.929131,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,1250000,Residencial,Avenida Boa Viagem,Boa Viagem,51130000,-8.1317303,-34.902409,Imobiliária,4,2,131,131,2,900,,2017-04-09 23:36:06.010883,,,,,,,
Apartamento com piscina e salão de festas em Poco da Panela,390000,Residencial,Rua Marechal Rondon,Poco da Panela,52061050,-8.0302285,-34.9218569,Imobiliária,2,1,61,61,1,900,,2017-04-09 23:36:06.182691,,,,,,,
Apartamento com piscina e churrasqueira em Aflitos,370000,Residencial,Av. Santos Dumont,Aflitos,52041060,-8.0347776,-34.8970716,Imobiliária,2,1,55,55,1,900,,2017-04-09 23:36:06.332345,,,,,,,
Apartamento com churrasqueira e sauna em Boa Viagem,1849000,Residencial,Avenida Boa Viagem,Boa Viagem,51011000,-8.131887,-34.8999441,Imobiliária,4,4,155,,3,900,,2017-04-09 23:36:06.449404,,,,,,,
Apartamento  em Torre,1400000,Residencial,Rua Neto Campelo,Torre,50710450,-8.0467675,-34.9077977,Imobiliária,4,4,200,200,3,900,,2017-04-09 23:36:06.679261,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,400000,Residencial,Rua Aviador Severiano Lins,Boa Viagem,51020060,-8.1083338,-34.8933341,Imobiliária,2,1,68,68,1,900,,2017-04-09 23:36:06.787932,,,,,,,
Apartamento com piscina e churrasqueira em Madalena,900000,Residencial,Rua Monsenhor Silva,Madalena,50610360,,,Imobiliária,4,4,153,153,3,900,,2017-04-09 23:36:06.809730,,,,,,,
Apartamento com piscina e churrasqueira em Cordeiro,304000,Residencial,Rua Aureo Xavier,Cordeiro,50721050,,,Imobiliária,2,1,61,61,1,900,,2017-04-09 23:36:06.817546,,,,,,,
Apartamento com frente para o mar e copa em Boa Viagem,760000,Residencial,Avenida Boa Viagem,Boa Viagem,51020000,-8.1395492,-34.9030392,Imobiliária,3,3,163,273,2,900,,2017-04-09 23:36:06.899036,,,,,,,
Apartamento  em Boa Viagem,290000,Residencial,Avenida Vinte de Janeiro,Boa Viagem,51130120,-8.1400313,-34.9148314,Imobiliária,3,1,90,90,2,900,,2017-04-09 23:36:07.016780,,,,,,,
Conjunto Comercial/Sala com copa em Casa Forte,780000,Comercial,Estrada das Ubáias,Casa Forte,52070013,-8.0291429,-34.9176735,Imobiliária,0,0,96,96,3,900,,2017-04-09 23:36:07.282230,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,699800,Residencial,Rua Padre Carapuceiro,Boa Viagem,51020280,-8.1197832,-34.8960205,Imobiliária,3,1,100,,2,900,,2017-04-09 23:36:07.352071,,,,,,,
Apartamento com piscina e salão de festas em Pina,950000,Residencial,Rua Irene Ramos Gomes de Mattos,Pina,51011530,-26.9225709,-49.0606445,Imobiliária,4,4,161,,4,900,,2017-04-09 23:36:07.393171,,,,,,,
Apartamento com piscina e esquina em Boa Viagem,663000,Residencial,Rua Antonio de Sa Leitao,Boa Viagem,51020090,-14.235004,-51.92528,Imobiliária,2,1,86,6108,2,900,,2017-04-09 23:36:07.476293,,,,,,,
Apartamento com playground e salão de festas em Boa Viagem,776000,Residencial,Avenida Pedro Paes Mendonça,Boa Viagem,51020480,-8.1147704,-34.9016537,Imobiliária,3,1,97,97,2,900,,2017-04-09 23:36:07.501643,,,,,,,
Apartamento com piscina e copa em Boa Viagem,305000,Residencial,,Boa Viagem,,,,Imobiliária,2,1,47,47,1,900,,2017-04-09 23:36:07.521333,,,,,,,
Galpão/Depósito/Armazém com esquina em Cordeiro,800000,Comercial,Rua Santos Moreira,Cordeiro,50630230,-8.0537602,-34.9244048,Imobiliária,0,0,402,402,8,900,,2017-04-09 23:36:07.639261,,,,,,,
Apartamento com piscina e estacionamento visitantes em Casa Amarela,334000,Residencial,,Casa Amarela,,,,Imobiliária,2,1,50,50,1,900,,2017-04-09 23:36:07.758106,,,,,,,
Apartamento  em Tamarineira,200000,Residencial,Rua da Boa Vontade,Tamarineira,52110070,-8.0283544,-34.9009356,Imobiliária,2,0,77,77,1,900,,2017-04-09 23:36:07.993543,,,,,,,
Apartamento com piscina e esquina em Casa Forte,780000,Residencial,Rua Silveira Lobo,Casa Forte,52061030,-8.0311126709,-34.9240722656,Imobiliária,3,1,105,105,2,900,,2017-04-09 23:36:08.232534,,,,,,,
Apartamento com piscina e playground em Espinheiro,420000,Residencial,Rua Marquês do Paraná,Espinheiro,52021050,-8.0409293,-34.8882807,Imobiliária,2,1,60,,1,900,,2017-04-09 23:36:08.357008,,,,,,,
Apartamento com piscina e playground em Madalena,635000,Residencial,Rua Real da Torre,Madalena,50710100,-8.0461299,-34.9097753,Imobiliária,3,1,96,96,2,900,,2017-04-09 23:36:08.425897,,,,,,,
Apartamento com sauna e copa em Sto Amaro,1400000,Residencial,Rua da Aurora,Sto Amaro,50040090,-8.0512819,-34.8747618,Imobiliária,4,4,208,208,3,900,,2017-04-09 23:36:08.499341,,,,,,,
Apartamento  em Espinheiro,850000,Residencial,,Espinheiro,52020030,,,Imobiliária,4,2,230,230,2,900,,2017-04-09 23:36:08.511949,,,,,,,
Apartamento  em Torre,430000,Residencial,Rua João de Deus,Torre,50710400,-8.0472688675,-34.911365509,Imobiliária,2,1,80,80,1,900,,2017-04-09 23:36:56.163867,,,,,,,
Apartamento  em Boa Viagem,1072000,Residencial,,Boa Viagem,,,,Imobiliária,4,2,124,124,0,900,,2017-04-09 23:36:08.535729,,,,,,,
Apartamento com salão de festas em Torre,1450000,Residencial,Rua Aurélio Domingues,Torre,50710020,-8.0380226,-34.9077468,Imobiliária,3,0,300,300,3,900,,2017-04-09 23:36:08.715919,,,,,,,
Apartamento com playground e quadra poliesportiva em Tamarineira,850000,Residencial,Rua José Carvalheira,Tamarineira,52051060,-8.0300301,-34.9033761,Imobiliária,4,3,210,210,3,900,,2017-04-09 23:36:08.724403,,,,,,,
Apartamento com piscina e copa em Cordeiro,340000,Residencial,Rua Desembargador Virgílio de Sá Pereira,Cordeiro,50721040,-8.0487372,-34.9282585,Imobiliária,2,1,62,62,1,900,,2017-04-09 23:36:08.892989,,,,,,,
Apartamento com piscina e estacionamento visitantes em Madalena,363500,Residencial,,Madalena,,,,Imobiliária,3,1,66,66,2,900,,2017-04-09 23:36:08.977417,,,,,,,
Apartamento com piscina e churrasqueira em Casa Forte,1400000,Residencial,Rua Jornalista Guerra de Holanda,Casa Forte,52061010,-8.0289705,-34.9239525,Imobiliária,4,3,241,,3,900,,2017-04-09 23:36:08.984236,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,450000,Residencial,Rua Olavo Bilac,Boa Viagem,51021480,-8.1297472,-34.9034201,Imobiliária,3,1,62,,1,900,,2017-04-09 23:36:09.246967,,,,,,,
Apartamento com piscina e churrasqueira em Cordeiro,400000,Residencial,Rua Adelino Frutuoso,Cordeiro,50721200,-8.0524067,-34.928326,Imobiliária,2,1,63,75,1,900,,2017-04-09 23:36:09.264391,,,,,,,
Apartamento com estacionamento visitantes e salão de festas em Espinheiro,480000,Residencial,Rua Buenos Aires,Espinheiro,52020180,-8.0478134155,-34.8934936523,Imobiliária,3,1,118,118,1,900,,2017-04-09 23:36:09.294592,,,,,,,
Apartamento  em Gracas,350000,Residencial,,Gracas,50000000,,,Imobiliária,3,1,90,,1,900,,2017-04-09 23:40:08.576164,,,,,,,
Apartamento com piscina e churrasqueira em Gracas,1150000,Residencial,,Gracas,,-8.0451555,-34.9020596,Imobiliária,4,1,218,365,2,900,,2017-04-09 23:36:09.345865,,,,,,,
Apartamento  em Encruzilhada,450000,Residencial,Rua Larga do Feitosa,Encruzilhada,52030140,-8.0365219,-34.8853698,Imobiliária,3,1,70,70,2,900,,2017-04-09 23:36:09.354225,,,,,,,
Apartamento  em Encruzilhada,348285,Residencial,Rua Larga do Feitosa,Encruzilhada,52030140,-8.0367902,-34.8852019,Imobiliária,2,1,51,51,1,900,,2017-04-09 23:36:09.429919,,,,,,,
Apartamento com playground e quadra poliesportiva em Jaqueira,2500000,Residencial,Rua Leonardo Bezerra Cavalcanti,Jaqueira,52060030,-8.0373499,-34.9100197,Imobiliária,4,2,360,,3,900,,2017-04-09 23:36:09.646465,,,,,,,
Apartamento com copa e salão de festas em Gracas,599999,Residencial,Rua Confederação do Equador,Gracas,52011060,-8.047907,-34.8978543,Imobiliária,4,1,188,210,2,900,,2017-04-09 23:36:09.702325,,,,,,,
Apartamento com piscina e copa em Boa Viagem,663000,Residencial,,Boa Viagem,,,,Imobiliária,3,1,86,86,2,900,,2017-04-09 23:36:09.961960,,,,,,,
Apartamento com piscina e churrasqueira em Espinheiro,475000,Residencial,Rua Alfredo de Carvalho,Espinheiro,52021040,-8.0409571,-34.8899011,Imobiliária,3,1,75,,2,900,,2017-04-09 23:36:10.012968,,,,,,,
Apartamento com piscina e churrasqueira em Casa Forte,740000,Residencial,Rua Jacó Velosino,Casa Forte,52061410,-8.0350206,-34.9182828,Imobiliária,3,1,105,145,2,900,,2017-04-09 23:36:10.066403,,,,,,,
Apartamento com playground e salão de festas em Madalena,430000,Residencial,Rua Dom João de Souza,Madalena,50610070,-8.0517465,-34.9057906,Imobiliária,3,0,144,144,1,900,,2017-04-09 23:36:12.746701,,,,,,,
Casa de condomínio  em Cordeiro,350000,Residencial,Rua Paes Cabral,Cordeiro,50630170,-8.0490664,-34.9237882,Imobiliária,3,2,86,86,1,900,,2017-04-09 23:36:10.128394,,,,,,,
Casa de condomínio  em Apipucos,1100000,Residencial,De Apipucos,Apipucos,52071000,-8.0237627,-34.9306139,Imobiliária,3,3,220,,3,900,,2017-04-09 23:36:10.184554,,,,,,,
Apartamento  em Boa Viagem,550000,Residencial,,Boa Viagem,,,,Imobiliária,3,2,110,110,2,900,,2017-04-09 23:36:10.350572,,,,,,,
Apartamento com piscina e churrasqueira em Beira Rio,860000,Residencial,Av Beira Rio,Beira Rio,52011055,-8.0604625,-34.900997,Imobiliária,4,2,133,,2,900,,2017-04-09 23:36:10.373733,,,,,,,
Apartamento com piscina e copa em Torreao,380000,Residencial,Estrada de Belém,Torreao,52030280,-8.0349361,-34.8872096,Imobiliária,3,1,61,61,1,900,,2017-04-09 23:36:10.529494,,,,,,,
Apartamento  em Espinheiro,450000,Residencial,Rua Amélia,Espinheiro,52020150,-8.0457897186,-34.8956108093,Imobiliária,3,1,129,129,1,900,,2017-04-09 23:36:10.615590,,,,,,,
Apartamento com piscina e churrasqueira em Varzea,279000,Residencial,Avenida Afonso Olindense,Varzea,50810000,-8.0372853,-34.9566062,Imobiliária,2,1,55,55,0,900,,2017-04-09 23:36:10.643119,,,,,,,
Apartamento com playground e quadra poliesportiva em Varzea,160000,Residencial,Rua Engenheiro Vasconcelos Bittencourt,Varzea,50740180,-8.0399997,-34.9531447,Imobiliária,2,1,65,65,1,900,,2017-04-09 23:36:10.714367,,,,,,,
Apartamento com estacionamento visitantes e playground em Espinheiro,550000,Residencial,Rua Quarenta e Oito,Espinheiro,52020060,-8.0437327,-34.8911911,Imobiliária,3,1,105,105,2,900,,2017-04-09 23:36:10.820178,,,,,,,
Apartamento  em Boa Viagem,400000,Residencial,,Boa Viagem,,,,Imobiliária,2,1,80,80,1,900,,2017-04-09 23:36:10.897179,,,,,,,
Apartamento com piscina e churrasqueira em Varzea,279000,Residencial,Avenida Afonso Olindense,Varzea,50810000,-8.0373909,-34.9567824,Imobiliária,2,1,55,55,1,900,,2017-04-09 23:37:16.286519,,,,,,,
Apartamento com churrasqueira e salão de festas em Boa Viagem,380000,Residencial,,Boa Viagem,,-14.235004,-51.92528,Imobiliária,3,1,87,,1,900,,2017-04-09 23:36:10.903544,,,,,,,
Apartamento com piscina e churrasqueira em Encruzilhada,410000,Residencial,,Encruzilhada,52030170,,,Imobiliária,3,1,64,64,1,900,,2017-04-09 23:36:11.020335,,,,,,,
Apartamento com salão de festas em Imbiribeira,304000,Residencial,Rua Arquiteto Luiz Nunes,Imbiribeira,51170430,-8.0827356,-34.908859,Imobiliária,3,1,66,66,0,900,,2017-04-09 23:36:11.111129,,,,,,,
Apartamento com piscina e frente para o mar em Piedade,280000,Residencial,Rua Aniceto Varejao,Piedade,54420310,,,Imobiliária,3,1,70,70,1,900,,2017-04-09 23:36:11.131804,,,,,,,
Apartamento com piscina e campo de futebol em Boa Viagem,570000,Residencial,Rua Amaro Albino Pimentel,Boa Viagem,51020120,-14.235004,-51.92528,Imobiliária,3,1,100,,2,900,,2017-04-09 23:36:11.362544,,,,,,,
Apartamento  em Encruzilhada,540000,Residencial,Rua Mal Deodoro,Encruzilhada,52030170,-8.0391444,-34.8868808,Imobiliária,4,1,241,,2,900,,2017-04-09 23:36:11.409169,,,,,,,
Apartamento com esquina e estacionamento visitantes em Boa Viagem,1350000,Residencial,Rua Francisco da Cunha,Boa Viagem,51020041,-8.1106848,-34.8940585,Imobiliária,4,2,165,165,3,900,,2017-04-09 23:36:11.463133,,,,,,,
