Título,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Área Total (m2),Vagas,Taxa Condomínio,IPTU,Data Coleta,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
Apartamento com piscina e churrasqueira em Rosarinho,380000,Residencial,Rua Couto Magalhães,Rosarinho,52051335,-26.9225709,-49.0606445,Imobiliária,2,1,62,,1,2500,120,2017-04-08 22:44:04.991731,,,,,,,
Apartamento com salão de festas em Campo Grande,330000,Residencial,Rua Oliveira Fonseca,Campo Grande,52040250,-8.0278532,-34.879626,Imobiliária,3,1,75,105,1,2500,,2017-04-08 22:44:04.999818,,,,,,,
Apartamento com copa em Aflitos,450000,Residencial,Do Futuro,Aflitos,52050010,-8.0399303,-34.9007042,Imobiliária,2,1,88,88,1,2500,,2017-04-08 22:44:05.013030,,,,,,,
Apartamento com piscina e salão de festas em Boa Viagem,360000,Residencial,Avenida Helio Falcao,Boa Viagem,51021070,,,Imobiliária,2,1,54,,2,2500,800,2017-04-08 22:44:05.127927,,,,,,,
Apartamento com sauna e copa em Boa Viagem,492562,Residencial,Rua Maria Carolina,Boa Viagem,51020220,-8.11312,-34.899206,Imobiliária,1,1,53,53,1,2500,,2017-04-08 22:44:05.721949,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,799000,Residencial,Rua Mario Souto Maior,Boa Viagem,51030310,-8.1407909,-34.9069836,Imobiliária,4,2,128,,2,2500,,2017-04-08 22:44:06.282542,,,,,,,
Apartamento com playground em Cordeiro,300000,Residencial,Rua Visconde de Itaboraí,Cordeiro,50721370,-8.049266,-34.9297704,Pessoa Física,2,1,97,,1,2500,850,2017-04-09 23:25:23.295493,,,,,,,
Apartamento  em Areias,140000,Residencial,Rua Barros Sobrinho,Areias,50781290,-8.0870408,-34.9330803,Pessoa Física,2,0,58,,1,2500,,2017-04-09 23:25:23.359578,,,,,,,
Apartamento  em Boa Viagem,250000,Residencial,Rua Joao Cardoso Aires,Boa Viagem,51130300,-8.1404819489,-34.9126281738,Imobiliária,3,1,101,,1,2466,,2017-04-09 23:25:23.365898,,,,,,,
Apartamento com piscina e churrasqueira em Madalena,320000,Residencial,Rua Dr. João Coimbra,Madalena,50000000,,,Pessoa Física,3,1,64,64,1,2460,,2017-04-09 23:25:24.222252,,,,,,,
Apartamento com piscina e churrasqueira em Casa Amarela,600000,Residencial,"Estrada Arraial,Do",Casa Amarela,52051380,-8.0267907,-34.914241,Imobiliária,4,3,125,,3,2400,,2017-04-09 23:25:24.302214,,,,,,,
Flat com piscina em Boa Viagem,225000,Comercial,Não Informado,Boa Viagem,,,,Imobiliária,1,1,47,47,1,2400,,2017-04-09 23:25:24.309490,,,,,,,
Conjunto Comercial/Sala  em Madalena,185000,Comercial,Rua Professora Anunciada da Rocha Melo,Madalena,50710390,-8.04877,-34.9084215,Imobiliária,0,0,29,29,1,2400,,2017-04-09 23:25:24.316891,,,,,,,
Apartamento com piscina e churrasqueira em Campo Grande,380000,Residencial,Estrada de Belem - Encruzilhada,Campo Grande,52031000,-8.0349361,-34.8872096,Pessoa Física,3,1,62,70,1,2400,,2017-04-09 23:25:24.355373,,,,,,,
Apartamento com piscina e churrasqueira em Madalena,950000,Residencial,Rua Arlindo Gouveia,Madalena,50720595,-8.0559955,-34.9035913,Imobiliária,4,2,145,220,2,2300,180,2017-04-09 23:25:24.361875,,,,,,,
Casa  em Engenho do Meio,320000,Residencial,Rua Lindolfo Color,Engenho do Meio,50730600,-8.052859283,-34.9396805677,Pessoa Física,4,1,110,,1,2300,,2017-04-09 23:25:24.467895,,,,,,,
Apartamento  em Boa Viagem,1200000,Residencial,Rua Setubal,Boa Viagem,51130010,-8.1428239,-34.9049773,Imobiliária,4,1,200,347,2,2300,,2017-04-09 23:25:24.981470,,,,,,,
Apartamento com piscina e sauna em Encruzilhada,300000,Residencial,Estrada de Belém,Encruzilhada,52030000,,,Pessoa Física,3,2,60,,1,2300,,2017-04-09 23:25:25.000666,,,,,,,
Apartamento com churrasqueira em Boa Viagem,320000,Residencial,Rua Padre Bernardino Pessoa,Boa Viagem,51020210,-8.1136277,-34.8955104,Pessoa Física,2,0,47,47,1,2250,119,2017-04-09 23:25:25.166839,,,,,,,
Galpão/Depósito/Armazém com copa e estacionamento visitantes em Areias,2100000,Comercial,Rua Figueira de Melo,Areias,50781110,-8.0864613,-34.9319743,Pessoa Física,7,0,1100,1100,20,2250,,2017-04-09 23:25:25.194398,,,,,,,
Apartamento  em Boa Viagem,250000,Residencial,Rua Feliciano José de Farias,Boa Viagem,51030450,-8.132618,-34.9047656,Pessoa Física,2,1,80,80,1,2250,,2017-04-09 23:25:25.404684,,,,,,,
Apartamento com piscina e copa em Boa Viagem,380000,Residencial,Rua Desem Joao Paes,Boa Viagem,51021360,-8.1259666,-34.9045394,Pessoa Física,3,1,91,,1,2250,1400,2017-04-09 23:25:25.436808,,,,,,,
Apartamento  em Boa Viagem,550000,Residencial,Rua Padre Bernardino Pessoa,Boa Viagem,51020210,-8.1117077,-34.8979366,Imobiliária,3,1,90,90,2,2200,,2017-04-09 23:25:25.531025,,,,,,,
Apartamento com churrasqueira e frente para o mar em Piedade,750000,Residencial,Avenida Bernardo Vieira de Melo,Piedade,54420010,-8.183698,-34.9313665,Imobiliária,4,2,236,306,2,2200,1000,2017-04-09 23:25:25.760880,,,,,,,
Apartamento com piscina e churrasqueira em Imbiribeira,328600,Residencial,Rua Pastor Amaro de Sena,Imbiribeira,51170510,-8.0892473,-34.9137609,Pessoa Física,3,1,64,,2,2200,,2017-04-09 23:25:25.816095,,,,,,,
Apartamento com salão de festas em Parnamirim,470000,Residencial,Praca Flor de Santana,Parnamirim,52060291,-8.0374152,-34.9148236,Imobiliária,4,2,160,,2,2200,,2017-04-09 23:25:39.580836,,,,,,,
