Titulo,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Area Total (m2),Vagas,Taxa Condomínio,IPTU,Data Coleta,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
Apartamento  em Casa Forte,461000,Residencial,Estrada do Encanamento,Casa Forte,52060210,-8.0311138,-34.916645,Imobiliária,3,0,68,68,0,,,2017-04-08 22:43:51.917839,0,0.7069832321379004,1.388309385742029,1.0894047853951312,4.931410311621194,34.99292257218555,0.15928094881667074
Apartamento com piscina em Boa Viagem,470000,Residencial,Rua Cel Anizio Rodrigues Coelho,Boa Viagem,51021130,-8.1250648,-34.9066848,Imobiliária,3,1,66,,1,400,,2017-04-08 22:43:52.223945,1.3785868916762003,2.21900148940964,0.1941468022845942,0.4035709705794777,4.820980324670299,20.49525160340893,1.6468530796399976
Apartamento com frente para o mar em Aflitos,400000,Residencial,Avenida Conselheiro Rosa e Silva,Aflitos,52050020,-8.040035,-34.8996565,Imobiliária,3,1,116,,1,800,,2017-04-08 22:44:00.127541,2.780080457296352,0.4440185948598844,1.0766069411312493,2.4778216020367125,5.5726661622766605,26.360897636577786,1.7329348936161708
Apartamento com piscina e churrasqueira em Madalena,450000,Residencial,Avenida Caxangá,Madalena,50610230,-8.056478,-34.9105164,Imobiliária,3,2,69,69,2,350,,2017-04-08 22:44:00.447416,1.9134439260671035,1.112752417895088,1.0875376435616715,3.5059916547129255,9.657321600288984,38.77277414010225,1.7437967763135331
Apartamento  em Boa Viagem,650000,Residencial,Rua Francisco da Cunha,Boa Viagem,51020041,-8.1147226,-34.8964526,Imobiliária,3,1,94,94,2,700,,2017-04-09 23:26:25.119664,0.6017050344881825,0.668965412517414,0.7546705016189992,1.2771547578404994,1.456458841087831,21.252998308766532,0
Apartamento com piscina e churrasqueira em Madalena,635000,Residencial,Rua Real da Torre,Madalena,50710100,-8.046006,-34.9099655,Imobiliária,3,1,96,96,2,500,,2017-04-08 22:44:00.465577,1.9201987970955754,0.5349788508823521,0.11076687668484032,1.1327928578405568,3.93525747189705,18.870139861482624,0.2615678090739906
Apartamento com piscina e sauna em Torre,325000,Residencial,Rua Padre Anchieta,Torre,50710165,-8.0473056,-34.9081021,Imobiliária,2,1,44,,1,,,2017-04-08 22:44:00.532687,2.4133645822413694,0.7280489280883639,0.3085509797744237,2.1290912936933784,6.123178241297744,23.0384004250069,0.6873677161499003
Apartamento  em Torreao,225000,Residencial,Rua Candido Lacerda,Torreao,52030200,-8.041332,-34.885168,Imobiliária,3,0,67,67,1,150,,2017-04-08 22:44:00.555140,0.15598104712618238,0,1.2453706257135777,0.6895216667507966,1.2040128655861662,22.938856791657322,0.09628800793201822
Conjunto Comercial/Sala  em Setubal,280000,Comercial,Rua Baltazar Passos,Setubal,51130290,-8.1431861,-34.9089477,Imobiliária,0,0,140,,0,463,,2017-04-08 22:44:00.782857,0.524993458849909,1.0112460921293547,0,0,2.0820909931836162,14.467506237138183,0.47363323705449045
Casa  em Engenho do Meio,320000,Residencial,Rua Alexandria,Engenho do Meio,50730100,-8.0613261,-34.9416301,Imobiliária,3,1,120,198,3,,,2017-04-08 22:44:00.790291,0,0,0,0,0.42801064891029705,18.92953815977778,0
Apartamento com salão de festas em Madalena,325000,Residencial,Rua Doutor João Coimbra,Madalena,50610310,-8.051989,-34.9107764,Imobiliária,3,1,65,65,1,450,,2017-04-08 22:44:01.147125,1.7994959235522525,1.087050330977731,0.7272636625258542,3.0923558182576425,7.17143483770495,28.88047905992654,1.175382889371753
Apartamento com churrasqueira em Torre,400000,Residencial,Rua José Bonifácio,Torre,50710001,-8.0415378,-34.9087104,Imobiliária,2,1,100,100,1,,,2017-04-08 22:44:01.224772,1.4092207932167293,0.08747110976473255,0.22538159041161032,0.7085780984320228,2.2519632561512717,18.762776139776626,0.3662446332526645
Apartamento com playground e salão de festas em Torreao,450000,Residencial,Rua Marechal Deodoro,Torreao,52030170,-8.0376902,-34.8852123,Imobiliária,2,1,70,70,1,400,,2017-04-08 22:44:01.284369,0.1724295499279217,0,1.9368348908706743,1.3185764137381555,1.0117635909876437,26.464132502307027,0.23062974930791835
Apartamento com salão de festas em Imbiribeira,270000,Residencial,Rua Cônego Lira,Imbiribeira,51170240,-8.0944801,-34.9093439,Imobiliária,2,1,54,54,0,420,,2017-04-08 22:44:01.330117,1.4057701682795172,0.9483637577617168,0.6819269887162711,1.2055736975877942,5.008954114220328,13.661839171313517,1.3326920996561515
Apartamento com piscina e churrasqueira em Rosarinho,400000,Residencial,Rua Caio Pereira,Rosarinho,52041045,-8.035088,-34.8963619,Imobiliária,3,1,75,75,1,,,2017-04-08 22:44:01.415573,2.6727270605902578,0.8640612889794739,2.519345301616464,5.425055239845338,4.636189709806142,31.312880790016482,1.5734669243969177
Apartamento com piscina e churrasqueira em Jd S Paulo,270000,Residencial,,Jd S Paulo,50000000,,,Imobiliária,3,1,65,65,1,,,2017-04-08 22:44:01.692865,0,0,0,0,0,0,0
Apartamento com piscina e churrasqueira em Boa Viagem,310000,Residencial,,Boa Viagem,,-8.1111171,-34.8927465,Imobiliária,1,0,38,,1,370,,2017-04-08 22:44:01.793621,0.0389150350367114,0.7324078748569193,0.37627406899579025,1.8908632778287457,1.293360841385898,11.81533077521795,0
