Título,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Área Total (m2),Vagas,Condomínio,IPTU,Data Coleta,Educação,Entretenimento,Financeiro,Saúde,Alimentação,Transporte,Others
Apartamento  em Rosarinho,2800000,Residencial,Rua Gal Artur Oscar,Rosarinho,52050430,-8.0616733,-34.9093876,Imobiliária,3,1,90,,5,1700,,2017-04-09 23:30:25.072434,1.7024835488552565,0.43981965165291637,0.679651849468391,1.644621608112935,7.329014204827155,38.41524429944637,
Apartamento com piscina e churrasqueira em Boa Viagem,2800000,Residencial,Rua Izabel Magalhaes,Boa Viagem,51030330,-8.1389661,-34.9062776,Imobiliária,2,1,45,,5,1700,,2017-04-09 23:30:23.843725,0.6997394052366628,2.1508722332452583,0,0,1.65953462273826,18.100778557040307,
Apartamento com piscina e salão de festas em Torre,2800000,Residencial,Rua Conde de Iraja,Torre,50710310,-8.0456622,-34.9047422,Imobiliária,3,2,90,90,5,1700,,2017-04-09 23:30:23.948300,2.2703416185605545,0.42572046446015965,0.17539025926174087,1.6027760426723638,6.350760782124018,25.28371471929822,
Apartamento com piscina e churrasqueira em Madalena,2800000,Residencial,Rua Monsenhor Silva,Madalena,50610360,-8.0510137,-34.9113946,Imobiliária,4,4,153,153,5,1660,,2017-04-09 23:30:24.088626,1.7003024084742089,0.9599412200980149,0.49392304081171384,2.514523645034435,5.894743649224838,26.211403828555238,
Apartamento  em Boa Viagem,2764500,Residencial,Rua Amália Bernardino de Sousa,Boa Viagem,51021150,-8.1253484,-34.9082967,Imobiliária,2,0,48,,5,1650,,2017-04-09 23:30:24.240388,1.3730016100057885,1.775097014619676,0.012483048791812052,0.2236749282603962,3.661473895146327,17.039607258459263,
Apartamento com piscina e churrasqueira em Boa Vista,2750000,Residencial,Rua da Aurora,Boa Vista,50050000,-8.0565882,-34.8781384,Imobiliária,4,4,176,,5,1650,,2017-04-09 23:30:24.508286,0,0.5782877619254742,0.8376837024294853,0.05196847097529223,1.7618375588288688,63.05581966539441,
Apartamento  em Boa Viagem,2750000,Residencial,Rua Sá e Souza,Boa Viagem,51030065,-8.1381913,-34.906868,Imobiliária,3,1,75,75,5,1650,,2017-04-09 23:30:24.538382,0.7963175922918846,1.8513190541945046,0.055973996016327875,0,1.860763251709128,19.6006411712948,
Apartamento com churrasqueira e frente para o mar em Boa Viagem,2750000,Residencial,Avenida Boa Viagem,Boa Viagem,51030000,-8.1339019509,-34.900907373,Pessoa Física,4,2,221,256,5,1650,6000,2017-04-09 23:30:24.602840,0.3550425463491864,2.600574794330048,1.413643275578798,0,3.356668211929217,26.006976888725163,
Apartamento com piscina e campo de futebol em Boa Viagem,2700000,Residencial,Avenida Visconde de Jequitinhonha,Boa Viagem,51030021,-8.1245868,-34.904274,Imobiliária,3,3,142,,5,1618,,2017-04-09 23:30:24.780963,1.048050318610941,2.613938118093211,0.38509798414033103,0.6716739557885626,5.757311554203358,27.96319101560312,
Apartamento com churrasqueira e copa em Boa Viagem,2700000,Residencial,Avenida Conselheiro Aguiar,Boa Viagem,51111011,-8.1125147,-34.8923077,Imobiliária,3,1,149,149,5,1608,,2017-04-09 23:30:24.818988,0.11687497230434837,0.8130144274145346,0.489829211963246,1.6956029425456025,1.1391865997401562,12.845788264654267,
